"","result_1a_slope","result_1a_se","result_1b_p","result_1c_AIC","result_1d_slope","result_1d_se","result_1e_p","result_1f_AIC","result_2a_slope","result_2a_se","result_2b_p","result_2c_AIC","result_2d_slope","result_2d_se","result_2e_p","result_2f_AIC","result_3a_slope","result_3a_se","result_3b_p","result_3c_AIC","result_3d_slope","result_3d_se","result_3e_p","result_3f_AIC"
"861",-0.130772963005701,0.0224541764993587,2.78854071390304e-07,-161.068225291638,-0.0915431341143115,0.0208956506864163,5.12478782941202e-05,-171.571057041861,0.686202468526032,0.0523577786134377,7.61350810475351e-19,-58.0633834037444,0.789216072703416,0.0480833338993394,2.90177364182738e-23,-71.7586215768186,-4.82176654858321e-11,0.0523577786093601,0.999999999268423,-58.0633834037444,-1.44132855549254e-11,0.0480833338975056,0.999999999761876,-71.7586215768187
"862",-0.142203841960011,0.0215022554420041,1.3983431385914e-08,-158.066386934204,-0.0937047279498114,0.0207744514034306,3.27704869313256e-05,-172.338144914192,0.712777542196241,0.0484083852124766,4.42873011157776e-21,-61.4084032294464,0.784113082892685,0.0481644872901448,4.26596598842851e-23,-72.3123705757516,-1.52264881151149e-09,0.0484083850978783,0.999999975012977,-61.4084032294464,2.02361900532987e-12,0.0481644872902494,0.999999999966624,-72.3123705757516
"863",-0.120378344848931,0.0237201763758726,4.42424510820677e-06,-162.158270533375,-0.094931774706457,0.0209651288275717,3.08377620613814e-05,-172.197623678283,0.695878576181238,0.0502129067168534,6.6704995325583e-20,-68.4617465727725,0.77470382993217,0.0479585888330557,6.15248173972486e-23,-73.701308186797,-2.84751603993415e-10,0.0502129066933202,0.999999995495089,-68.4617465727726,-2.65258307731169e-11,0.0479585888319969,0.999999999560622,-73.701308186797
"864",-0.127352610190031,0.0218297351703485,2.68676382347806e-07,-162.276598603071,-0.0936821872589515,0.0209178690990554,3.66138084301921e-05,-171.288855771893,0.682001525869683,0.0492769647800783,7.0733673658741e-20,-61.4368595065474,0.776402349178931,0.0478588927540242,5.03376019878767e-23,-72.0960311646231,5.37307936645799e-10,0.0492769648378957,0.99999999133807,-61.4368595065474,3.26110931871271e-12,0.0478588927542196,0.99999999994587,-72.0960311646231
"865",-0.0604606068348066,0.025212506573511,0.0197801025854841,-148.76575020619,-0.0910384042521439,0.0210910503954817,6.38957341008405e-05,-170.541406369144,0.591782863354797,0.0497911423096873,4.61304400592057e-17,-50.6217393407214,0.784782289756437,0.0484082681601084,5.19686474208874e-23,-71.0320176465381,3.59915099512781e-10,0.0497911423511833,0.999999994257734,-50.6217393407212,-1.74288408764946e-13,0.0484082681600958,0.99999999999714,-71.032017646538
"866",-0.110330720860996,0.0225626521559873,8.60583532480293e-06,-170.123815979739,-0.0950795586062092,0.0209742645728919,3.02986479340199e-05,-171.244078567669,0.713426707246067,0.0528083581254029,2.04365906986067e-19,-67.0756234093006,0.773643130975354,0.0484008876110874,1.00875771080358e-22,-71.4817968896249,2.77798511762652e-10,0.0528083581419521,0.999999995821094,-67.0756234093006,1.87095003299918e-10,0.0484008876198454,0.999999996929252,-71.4817968896249
"867",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"868",-0.0846868246582354,0.022425759265524,0.000381932442051545,-165.034247869646,-0.0929269101284213,0.0208075909058278,3.82395211465852e-05,-172.199998050317,0.769572720618944,0.0504963656313879,9.19546034072866e-22,-64.0371003048076,0.782539909671589,0.0473836258786981,2.16843543574363e-23,-73.711268749516,4.0741399239807e-10,0.0504963656714006,0.999999993590691,-64.0371003048076,-1.15888622680963e-11,0.0473836258778472,0.999999999805711,-73.7112687495161
"869",-0.0978932322815451,0.0200753356475599,9.03687510298503e-06,-169.118740063256,-0.0931551655278062,0.0207348522807547,3.48676553594075e-05,-173.385459484539,0.757331989815262,0.0448729710669597,7.73894781281338e-24,-69.4939571620291,0.784265981975944,0.0474837614182411,2.15899283408454e-23,-74.736977188343,1.41961073830875e-10,0.0448729710873921,0.999999997486842,-69.4939571620291,-6.66375628353965e-11,0.0474837614136355,0.999999998885168,-74.736977188343
"870",-0.091792643544592,0.0215485507077935,7.74594411915461e-05,-170.664711167341,-0.0935752326660958,0.0207991648262041,3.41140845385556e-05,-172.302837889685,0.758889463464787,0.0497910791956188,9.15909973701882e-22,-68.8557728623412,0.779846953849364,0.0474020824051962,2.59974037037987e-23,-73.6043975297462,-1.48485137576873e-11,0.0497910791945816,0.999999999763099,-68.8557728623412,7.33249595652204e-11,0.0474020824101846,0.999999998771176,-73.6043975297462
